"Customer Id","Currency","Promotional Credits","Excess Payments","Refundable Credits","Unbilled Charges"
"cus_KhIKviUt1DwMLz","USD","0.00","0.00","1250.00","0.00"
"cus_KWMY2wvZX9gupZ","USD","0.00","0.00","3550.00","0.00"
"cus_KWMlllvPQD18gB","USD","0.00","0.00","847.00","0.00"
"cus_JMxxT46BKVMhIZ","USD","0.00","0.00","3150.00","0.00"
"cus_KWMFdiZKXy98ZS","USD","0.00","0.00","1050.00","0.00"
"cus_JMxQsBtXwwbTMG","USD","0.00","0.00","7200.00","0.00"
"cus_KWMCLnrsc3b50d","USD","0.00","0.00","8580.00","0.00"
"cus_IRurYVpWLn3Ikh","USD","0.00","0.00","3150.00","0.00"
"cus_ICtCDr1bPbhls3","USD","0.00","0.00","1050.00","0.00"
"cus_I8S3NTWNEUFG85","USD","0.00","0.00","1050.00","0.00"
"cus_I2YncFJwECP4oK","USD","0.00","0.00","625.00","0.00"
"cus_HtUIVGTaR5jFRg","USD","0.00","0.00","750.00","0.00"
"cus_HjdM4sRVI62T70","USD","0.00","0.00","1050.00","0.00"
"cus_Hw5QQzbnfTgygm","USD","0.00","0.00","700.00","0.00"
"cus_He6ipS0rrmP0xz","USD","0.00","0.00","1050.00","0.00"
"cus_IFCXWz9zlNDgjt","USD","0.00","0.00","1050.00","0.00"
"cus_I8S1MF29d3uFto","USD","0.00","0.00","1050.00","0.00"
"cus_I2Yr8y8csmLqIF","USD","0.00","0.00","1050.00","0.00"
"cus_KWLf14oxmsDWWt","USD","0.00","0.00","350.00","0.00"
"cus_HcCFcR2SnlUi4q","USD","0.00","0.00","1050.00","0.00"
"cus_Gl3ZS3zHgtezRv","USD","0.00","0.00","1050.00","0.00"
"cus_HUHk9VhdNzoPLH","USD","0.00","0.00","1050.00","0.00"
"cus_HQy6gxjP6J9eBd","USD","0.00","0.00","1050.00","0.00"
"cus_GeH6eOSU8iJYfn","USD","0.00","0.00","1050.00","0.00"
"cus_GnhenpYVl2ezS5","USD","0.00","0.00","1050.00","0.00"
"cus_I8RsyHDYKOKkdw","USD","0.00","0.00","500.00","0.00"
"cus_G43AcowGxoJJjt","EUR","0.00","0.00","0.00","0.00"
"cus_HDmtZwqmhi0vbS","USD","0.00","0.00","2100.00","0.00"
"cus_JMxlTrj5aSlM2S","USD","0.00","0.00","1249.50","0.00"
"cus_JMxbTJEAQ4UVsc","USD","0.00","0.00","1050.00","0.00"
"cus_JMxL1vnLl23gUC","USD","0.00","0.00","2100.00","0.00"
"cus_HpHBq7mabym0E3","USD","0.00","0.00","2100.00","0.00"
"cus_He6deGeatCs0Rd","USD","0.00","0.00","2100.00","0.00"
"cus_HON8RJ9antmZuD","USD","0.00","0.00","1050.00","0.00"
"cus_GNVvvCDJTCsGIW","USD","0.00","0.00","350.00","0.00"
"cus_GLh6BBfHCgqD6L","USD","0.00","0.00","350.00","0.00"
